model,task,feature_subset,N,baseline_cycle,n_seeds,n_rows,run_dir,metric,value
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,n_rows,250.0
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,n_seeds,5.0
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,test_f1_mean,0.8655806079556891
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,test_f1_std,0.03735262328609609
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,test_accuracy_mean,0.8160000000000001
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,test_accuracy_std,0.05366563145999495
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,test_precision_mean,0.8169477311412795
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,test_precision_std,0.05421442684388893
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,test_recall_mean,0.925
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,test_recall_std,0.06480137922914914
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,test_roc_auc_mean,0.875
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all,test_roc_auc_std,0.026529004843639088
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,n_rows,250.0
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,n_seeds,5.0
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,test_f1_mean,0.8655806079556891
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,test_f1_std,0.03735262328609609
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,test_accuracy_mean,0.8160000000000001
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,test_accuracy_std,0.05366563145999495
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,test_precision_mean,0.8169477311412795
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,test_precision_std,0.05421442684388893
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,test_recall_mean,0.925
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,test_recall_std,0.06480137922914914
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,test_roc_auc_mean,0.875
xgb_classifier,classification,fs_all,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_all__20260516T193607Z,test_roc_auc_std,0.026529004843639088
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,n_rows,250.0
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,n_seeds,5.0
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,test_f1_mean,0.8377149276393933
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,test_f1_std,0.029385207923216274
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,test_accuracy_mean,0.768
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,test_accuracy_std,0.0626099033699941
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,test_precision_mean,0.7727439192552432
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,test_precision_std,0.07388317525541951
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,test_recall_mean,0.925
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,test_recall_std,0.06480137922914914
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,test_roc_auc_mean,0.8753472222222222
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv,test_roc_auc_std,0.015547648039748703
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,n_rows,250.0
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,n_seeds,5.0
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,test_f1_mean,0.8377149276393933
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,test_f1_std,0.029385207923216274
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,test_accuracy_mean,0.768
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,test_accuracy_std,0.0626099033699941
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,test_precision_mean,0.7727439192552432
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,test_precision_std,0.07388317525541951
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,test_recall_mean,0.925
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,test_recall_std,0.06480137922914914
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,test_roc_auc_mean,0.8753472222222222
xgb_classifier,classification,fs_cv,300,1,5,250,out/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260516T191025Z,test_roc_auc_std,0.015547648039748703
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all,n_rows,187.0
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all,n_seeds,5.0
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all,test_mae_mean,136.16482094126079
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all,test_mae_std,12.320591842225022
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all,test_rmse_mean,185.70543367032627
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all,test_rmse_std,22.710640000706004
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all,test_r2_mean,0.3355036227044347
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all,test_r2_std,0.08784328831996314
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all,test_medae_mean,88.76365125847236
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all,test_medae_std,9.843141631984873
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all__20260516T212337Z,n_rows,187.0
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all__20260516T212337Z,n_seeds,5.0
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all__20260516T212337Z,test_mae_mean,136.16482094126079
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all__20260516T212337Z,test_mae_std,12.320591842225022
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all__20260516T212337Z,test_rmse_mean,185.70543367032627
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all__20260516T212337Z,test_rmse_std,22.710640000706004
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all__20260516T212337Z,test_r2_mean,0.3355036227044347
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all__20260516T212337Z,test_r2_std,0.08784328831996314
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all__20260516T212337Z,test_medae_mean,88.76365125847236
ebm_regressor,regression,fs_all,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_all__20260516T212337Z,test_medae_std,9.843141631984873
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv,n_rows,187.0
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv,n_seeds,5.0
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv,test_mae_mean,142.1003671455188
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv,test_mae_std,14.552772687716326
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv,test_rmse_mean,190.5994082885373
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv,test_rmse_std,23.11002332053587
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv,test_r2_mean,0.29958182170257247
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv,test_r2_std,0.09435612209427596
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv,test_medae_mean,101.60881615365402
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv,test_medae_std,6.4568974445452465
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv__20260516T201935Z,n_rows,187.0
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv__20260516T201935Z,n_seeds,5.0
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv__20260516T201935Z,test_mae_mean,142.1003671455188
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv__20260516T201935Z,test_mae_std,14.552772687716326
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv__20260516T201935Z,test_rmse_mean,190.5994082885373
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv__20260516T201935Z,test_rmse_std,23.11002332053587
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv__20260516T201935Z,test_r2_mean,0.29958182170257247
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv__20260516T201935Z,test_r2_std,0.09435612209427596
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv__20260516T201935Z,test_medae_mean,101.60881615365402
ebm_regressor,regression,fs_cv,300,1,5,187,out/runs/regression/ebm_regressor__regression__N300__A2.2_b1__fs_cv__20260516T201935Z,test_medae_std,6.4568974445452465
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all,n_rows,187.0
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all,n_seeds,5.0
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all,test_mae_mean,136.5031061446718
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all,test_mae_std,9.564688638581975
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all,test_rmse_mean,188.11967926436256
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all,test_rmse_std,21.837947705604
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all,test_r2_mean,0.31732462672848827
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all,test_r2_std,0.08808664213126657
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all,test_medae_mean,87.94947700203674
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all,test_medae_std,4.847092284264895
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all__20260516T193907Z,n_rows,187.0
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all__20260516T193907Z,n_seeds,5.0
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all__20260516T193907Z,test_mae_mean,136.5031061446718
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all__20260516T193907Z,test_mae_std,9.564688638581975
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all__20260516T193907Z,test_rmse_mean,188.11967926436256
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all__20260516T193907Z,test_rmse_std,21.837947705604
xgb_regressor,regression,fs_all,300,1,5,187,out/runs/regression/xgb_regressor__regression__N300__A2.2_b1__fs_all__20260516T193907Z,test_r2_mean,0.31732462672848827
