seed,N,w_rsf,c_index,auc_at_200,auc_at_300,auc_at_400
1,200,0.0,0.7714723926380368,0.8968531468531469,,
1,200,0.1,0.776840490797546,0.9003496503496504,,
1,200,0.2,0.7822085889570553,0.9055944055944056,,
1,200,0.3,0.7891104294478528,0.9108391608391608,,
1,200,0.4,0.7921779141104295,0.9143356643356644,,
1,200,0.5,0.7960122699386503,0.9195804195804196,,
1,200,0.6,0.7967791411042945,0.923076923076923,,
1,200,0.7,0.8006134969325154,0.9248251748251748,,
1,200,0.8,0.8044478527607362,0.93006993006993,,
1,200,0.9,0.8090490797546013,0.9318181818181819,,
1,200,1.0,0.8075153374233128,0.9300699300699301,,
2,200,0.0,0.7887537993920972,0.8866666666666667,,
2,200,0.1,0.7925531914893617,0.8933333333333333,,
2,200,0.2,0.7917933130699089,0.8933333333333333,,
2,200,0.3,0.790273556231003,0.8933333333333333,,
2,200,0.4,0.7933130699088146,0.8916666666666667,,
2,200,0.5,0.7963525835866262,0.895,,
2,200,0.6,0.797112462006079,0.8933333333333333,,
2,200,0.7,0.7963525835866262,0.8933333333333333,,
2,200,0.8,0.7940729483282675,0.8916666666666667,,
2,200,0.9,0.7933130699088146,0.8866666666666667,,
2,200,1.0,0.7933130699088146,0.8866666666666667,,
3,200,0.0,0.7252710027100271,0.9694214876033057,,
3,200,0.1,0.7411924119241192,0.9669421487603307,,
3,200,0.2,0.741869918699187,0.9669421487603307,,
3,200,0.3,0.7452574525745257,0.9669421487603305,,
3,200,0.4,0.7560975609756098,0.9702479338842975,,
3,200,0.5,0.7676151761517616,0.9735537190082645,,
3,200,0.6,0.7682926829268293,0.9719008264462811,,
3,200,0.7,0.771680216802168,0.9702479338842975,,
3,200,0.8,0.7710027100271003,0.9619834710743802,,
3,200,0.9,0.7764227642276422,0.9619834710743802,,
3,200,1.0,0.782520325203252,0.9586776859504132,,
4,200,0.0,0.7904191616766467,0.9365079365079365,,
4,200,0.1,0.7926646706586826,0.9380952380952381,,
4,200,0.2,0.7986526946107785,0.9396825396825397,,
4,200,0.3,0.8023952095808383,0.9428571428571428,,
4,200,0.4,0.8076347305389222,0.9507936507936509,,
4,200,0.5,0.8083832335329342,0.9444444444444444,,
4,200,0.6,0.812125748502994,0.9444444444444445,,
4,200,0.7,0.8181137724550899,0.9444444444444444,,
4,200,0.8,0.8196107784431138,0.9460317460317461,,
4,200,0.9,0.8278443113772455,0.9428571428571428,,
4,200,1.0,0.8323353293413174,0.9428571428571428,,
5,200,0.0,0.7750188111361926,0.8579545454545454,,
5,200,0.1,0.7757712565838977,0.8617424242424242,,
5,200,0.2,0.7787810383747178,0.8693181818181818,,
5,200,0.3,0.7832957110609481,0.884469696969697,,
5,200,0.4,0.7855530474040632,0.8863636363636364,,
5,200,0.5,0.7945823927765236,0.8939393939393939,,
5,200,0.6,0.7960872836719338,0.899621212121212,,
5,200,0.7,0.799849510910459,0.9015151515151514,,
5,200,0.8,0.7960872836719338,0.8977272727272727,,
5,200,0.9,0.7983446200150489,0.9015151515151516,,
5,200,1.0,0.7975921745673439,0.9015151515151516,,
1,300,0.0,0.7714723926380368,,0.821371610845295,
1,300,0.1,0.7776073619631901,,0.8277511961722488,
1,300,0.2,0.7822085889570553,,0.8389154704944178,
1,300,0.3,0.7906441717791411,,0.850079744816587,
1,300,0.4,0.7944785276073619,,0.8532695374800637,
1,300,0.5,0.7975460122699386,,0.8564593301435407,
1,300,0.6,0.8021472392638037,,0.8628389154704944,
1,300,0.7,0.8021472392638037,,0.8644338118022328,
1,300,0.8,0.8059815950920245,,0.8676236044657097,
1,300,0.9,0.8121165644171779,,0.8835725677830941,
1,300,1.0,0.8121165644171779,,0.886762360446571,
2,300,0.0,0.7887537993920972,,0.8475499092558983,
2,300,0.1,0.7933130699088146,,0.8548094373865699,
2,300,0.2,0.791033434650456,,0.8548094373865699,
2,300,0.3,0.7857142857142857,,0.8511796733212341,
2,300,0.4,0.7872340425531915,,0.8548094373865699,
2,300,0.5,0.7864741641337386,,0.8602540834845734,
2,300,0.6,0.7895136778115501,,0.8602540834845734,
2,300,0.7,0.7879939209726444,,0.8584392014519057,
2,300,0.8,0.7834346504559271,,0.8493647912885662,
2,300,0.9,0.7803951367781155,,0.8457350272232305,
2,300,1.0,0.7788753799392097,,0.8475499092558983,
3,300,0.0,0.7252710027100271,,0.7882882882882882,
3,300,0.1,0.7405149051490515,,0.8003003003003003,
3,300,0.2,0.7439024390243902,,0.8018018018018017,
3,300,0.3,0.7459349593495935,,0.8033033033033032,
3,300,0.4,0.7588075880758808,,0.8228228228228228,
3,300,0.5,0.7669376693766937,,0.8333333333333333,
3,300,0.6,0.7676151761517616,,0.8363363363363363,
3,300,0.7,0.7696476964769647,,0.8408408408408408,
3,300,0.8,0.7723577235772358,,0.8423423423423424,
3,300,0.9,0.7831978319783198,,0.8498498498498499,
3,300,1.0,0.7831978319783198,,0.8498498498498498,
4,300,0.0,0.7904191616766467,,0.9288194444444444,
4,300,0.1,0.7934131736526946,,0.9322916666666666,
4,300,0.2,0.7994011976047904,,0.9409722222222222,
4,300,0.3,0.8008982035928144,,0.9461805555555555,
4,300,0.4,0.8038922155688623,,0.9461805555555556,
4,300,0.5,0.8068862275449101,,0.9496527777777778,
4,300,0.6,0.8083832335329342,,0.953125,
4,300,0.7,0.8166167664670658,,0.9565972222222222,
4,300,0.8,0.8218562874251497,,0.9618055555555556,
4,300,0.9,0.8285928143712575,,0.9618055555555556,
4,300,1.0,0.8308383233532934,,0.9600694444444444,
5,300,0.0,0.7750188111361926,,0.7924836601307189,
5,300,0.1,0.7750188111361926,,0.7924836601307189,
5,300,0.2,0.7765237020316027,,0.7957516339869282,
5,300,0.3,0.7832957110609481,,0.8088235294117647,
5,300,0.4,0.7863054928517682,,0.8169934640522876,
5,300,0.5,0.7938299473288186,,0.8235294117647058,
5,300,0.6,0.7983446200150489,,0.8300653594771241,
5,300,0.7,0.7990970654627539,,0.8366013071895424,
5,300,0.8,0.7975921745673439,,0.8366013071895425,
5,300,0.9,0.7968397291196389,,0.8398692810457516,
5,300,1.0,0.801354401805869,,0.8496732026143792,
1,400,0.0,0.7714723926380368,,,0.8121739130434783
1,400,0.1,0.776840490797546,,,0.8173913043478261
1,400,0.2,0.7829754601226994,,,0.8260869565217391
1,400,0.3,0.7875766871165644,,,0.8295652173913043
1,400,0.4,0.7944785276073619,,,0.8382608695652174
1,400,0.5,0.7952453987730062,,,0.8382608695652174
1,400,0.6,0.7998466257668712,,,0.8452173913043478
1,400,0.7,0.8029141104294478,,,0.8521739130434782
1,400,0.8,0.8075153374233128,,,0.8608695652173913
1,400,0.9,0.8159509202453987,,,0.88
1,400,1.0,0.8151840490797546,,,0.8869565217391304
2,400,0.0,0.7887537993920972,,,0.8466819221967964
2,400,0.1,0.7940729483282675,,,0.8558352402745996
2,400,0.2,0.7948328267477204,,,0.8604118993135013
2,400,0.3,0.7955927051671733,,,0.8604118993135013
2,400,0.4,0.7948328267477204,,,0.8581235697940504
2,400,0.5,0.7955927051671733,,,0.8581235697940504
2,400,0.6,0.7933130699088146,,,0.8604118993135011
2,400,0.7,0.7895136778115501,,,0.8535469107551488
2,400,0.8,0.7864741641337386,,,0.8581235697940504
2,400,0.9,0.7887537993920972,,,0.8649885583524027
2,400,1.0,0.7834346504559271,,,0.8581235697940504
3,400,0.0,0.7252710027100271,,,0.6755952380952381
3,400,0.1,0.7344173441734417,,,0.6904761904761905
3,400,0.2,0.7371273712737128,,,0.6919642857142857
3,400,0.3,0.747289972899729,,,0.7127976190476191
3,400,0.4,0.755420054200542,,,0.724702380952381
3,400,0.5,0.766260162601626,,,0.7470238095238095
3,400,0.6,0.766260162601626,,,0.7529761904761905
3,400,0.7,0.768970189701897,,,0.7648809523809524
3,400,0.8,0.768970189701897,,,0.7693452380952381
3,400,0.9,0.7777777777777778,,,0.7797619047619048
3,400,1.0,0.782520325203252,,,0.793154761904762
4,400,0.0,0.7904191616766467,,,0.8583916083916084
4,400,0.1,0.7926646706586826,,,0.8583916083916084
4,400,0.2,0.7979041916167665,,,0.8653846153846154
4,400,0.3,0.7994011976047904,,,0.8653846153846154
4,400,0.4,0.8023952095808383,,,0.8706293706293706
4,400,0.5,0.8083832335329342,,,0.8828671328671329
4,400,0.6,0.8076347305389222,,,0.8863636363636364
4,400,0.7,0.8143712574850299,,,0.8933566433566433
4,400,0.8,0.8211077844311377,,,0.8951048951048951
4,400,0.9,0.8233532934131736,,,0.8968531468531469
4,400,1.0,0.8263473053892215,,,0.9038461538461539
5,400,0.0,0.7750188111361926,,,0.8226086956521739
5,400,0.1,0.7772761474793077,,,0.8243478260869566
5,400,0.2,0.7787810383747178,,,0.8295652173913043
5,400,0.3,0.7848006019563581,,,0.8417391304347827
5,400,0.4,0.7878103837471784,,,0.8434782608695652
5,400,0.5,0.7960872836719338,,,0.8556521739130435
5,400,0.6,0.8028592927012792,,,0.8626086956521739
5,400,0.7,0.800601956358164,,,0.8608695652173913
5,400,0.8,0.8028592927012792,,,0.8695652173913043
5,400,0.9,0.800601956358164,,,0.8660869565217391
5,400,1.0,0.8021068472535741,,,0.8660869565217391
