model,task,feature_subset,N,n_seeds,tune_objective,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,c_index_mean,c_index_std,run_dir
ebm_classifier,classification,fs_a_only,200,5,roc_auc,0.9061224681522677,0.03944100040408346,0.8892063492063492,0.059807788199802904,,,runs/runs/classification/ebm_classifier__classification__N200__A2.2_b1__fs_a_only__20260517T004654Z
ebm_classifier,classification,fs_a_only,200,5,f1,0.9117916865742952,0.04248882786933237,0.8841269841269842,0.07859146770271194,,,runs/runs/classification/ebm_classifier__classification__N200__A2.2_b1__fs_a_only__20260517T005406Z
ebm_classifier,classification,fs_cv,200,5,roc_auc,0.9108457229793206,0.026932904484069986,0.8755555555555554,0.08609995538886311,,,runs/runs/classification/ebm_classifier__classification__N200__A2.2_b1__fs_cv__20260517T015651Z
ebm_classifier,classification,fs_cv,200,5,f1,0.9038653639025342,0.02937046869452982,0.8746031746031745,0.07945233298925287,,,runs/runs/classification/ebm_classifier__classification__N200__A2.2_b1__fs_cv__20260517T020920Z
ebm_classifier,classification,fs_a_only,300,5,roc_auc,0.8545375364075978,0.011476376761421042,0.8642361111111111,0.022582795196540464,,,runs/runs/classification/ebm_classifier__classification__N300__A2.2_b1__fs_a_only__20260517T011352Z
ebm_classifier,classification,fs_a_only,300,5,f1,0.8484636278753926,0.027029967352301315,0.8625,0.03297240212204037,,,runs/runs/classification/ebm_classifier__classification__N300__A2.2_b1__fs_a_only__20260517T011754Z
ebm_classifier,classification,fs_cv,300,5,roc_auc,0.8437021415480404,0.04440188262261272,0.8638888888888889,0.05431558943961525,,,runs/runs/classification/ebm_classifier__classification__N300__A2.2_b1__fs_cv__20260517T023233Z
ebm_classifier,classification,fs_cv,300,5,f1,0.8476961984130368,0.0446205294664169,0.8649305555555553,0.04973587161349767,,,runs/runs/classification/ebm_classifier__classification__N300__A2.2_b1__fs_cv__20260517T024019Z
ebm_classifier,classification,fs_a_only,400,5,roc_auc,0.8260208419031947,0.05765076339924467,0.8847222222222223,0.05302391435783633,,,runs/runs/classification/ebm_classifier__classification__N400__A2.2_b1__fs_a_only__20260517T013434Z
ebm_classifier,classification,fs_a_only,400,5,f1,0.804864964853866,0.06379949278354007,0.8861111111111111,0.050817962156876964,,,runs/runs/classification/ebm_classifier__classification__N400__A2.2_b1__fs_a_only__20260517T013941Z
ebm_classifier,classification,fs_cv,400,5,roc_auc,0.8124809923969589,0.06605377515989608,0.8777777777777779,0.03258620896423045,,,runs/runs/classification/ebm_classifier__classification__N400__A2.2_b1__fs_cv__20260517T030139Z
ebm_classifier,classification,fs_cv,400,5,f1,0.8081204894333105,0.06631224141553996,0.8708333333333332,0.05223646470233954,,,runs/runs/classification/ebm_classifier__classification__N400__A2.2_b1__fs_cv__20260517T030745Z
xgb_classifier,classification,fs_a_only,200,5,roc_auc,0.8970152693748199,0.04273008869518561,0.8950793650793651,0.0678290575871581,,,runs/runs/classification/xgb_classifier__classification__N200__A2.2_b1__fs_a_only__20260517T004444Z
xgb_classifier,classification,fs_a_only,200,5,f1,0.9179707570428846,0.03996324667313768,0.8903174603174604,0.07549784377192585,,,runs/runs/classification/xgb_classifier__classification__N200__A2.2_b1__fs_a_only__20260517T004548Z
xgb_classifier,classification,fs_cv,200,5,roc_auc,0.89988226840809,0.03776366133665757,0.905079365079365,0.06282787518070973,,,runs/runs/classification/xgb_classifier__classification__N200__A2.2_b1__fs_cv__20260517T015355Z
xgb_classifier,classification,fs_cv,200,5,f1,0.9053787704259678,0.03198729214165462,0.9003174603174603,0.058141624295220455,,,runs/runs/classification/xgb_classifier__classification__N200__A2.2_b1__fs_cv__20260517T015513Z
xgb_classifier,classification,fs_a_only,300,5,roc_auc,0.8572155010667538,0.02411148360604063,0.8588541666666666,0.022297371846943352,,,runs/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_a_only__20260517T011138Z
xgb_classifier,classification,fs_a_only,300,5,f1,0.8435833914409766,0.014488276933638659,0.8526041666666666,0.03278217293390596,,,runs/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_a_only__20260517T011251Z
xgb_classifier,classification,fs_cv,300,5,roc_auc,0.8377149276393933,0.029385207923216274,0.8753472222222222,0.015547648039748703,,,runs/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260517T022941Z
xgb_classifier,classification,fs_cv,300,5,f1,0.8420353020429225,0.024088350928811224,0.8878472222222223,0.0206735772869503,,,runs/runs/classification/xgb_classifier__classification__N300__A2.2_b1__fs_cv__20260517T023104Z
xgb_classifier,classification,fs_a_only,400,5,roc_auc,0.810394262782129,0.0686232831276426,0.8657986111111111,0.053382240759190916,,,runs/runs/classification/xgb_classifier__classification__N400__A2.2_b1__fs_a_only__20260517T013229Z
xgb_classifier,classification,fs_a_only,400,5,f1,0.8013121587999283,0.04217805788125812,0.834201388888889,0.08832012043039515,,,runs/runs/classification/xgb_classifier__classification__N400__A2.2_b1__fs_a_only__20260517T013332Z
xgb_classifier,classification,fs_cv,400,5,roc_auc,0.79732715781348,0.05420957624310649,0.8861111111111111,0.04218071218827245,,,runs/runs/classification/xgb_classifier__classification__N400__A2.2_b1__fs_cv__20260517T025753Z
xgb_classifier,classification,fs_cv,400,5,f1,0.7781405523653268,0.03670472033256641,0.8696180555555557,0.0487519660690915,,,runs/runs/classification/xgb_classifier__classification__N400__A2.2_b1__fs_cv__20260517T025945Z
rsf,survival,fs_a_only,200,5,auc_at_N,0.5886318823925177,0.06647932446853425,0.9360159789705242,0.029797151413650576,0.7728060831839245,0.03253707263093168,runs/runs/survival/rsf__survival__N200__A2.2_b1__fs_a_only__20260517T010225Z
rsf,survival,fs_a_only,200,5,f1_at_N,0.5886318823925177,0.06647932446853425,0.9308671984581075,0.03059269941060578,0.7736429541995531,0.034609478740274056,runs/runs/survival/rsf__survival__N200__A2.2_b1__fs_a_only__20260517T010612Z
rsf,survival,fs_cv,200,5,auc_at_N,0.5793295568111223,0.058292021049340025,0.9279068608159518,0.03351617229653625,0.8008912409665123,0.02050240573995485,runs/runs/survival/rsf__survival__N200__A2.2_b1__fs_cv__20260517T022019Z
rsf,survival,fs_cv,200,5,f1_at_N,0.5600496497263372,0.06474539916127604,0.9139368661641388,0.03812134066382158,0.7941985366510467,0.018586611507381685,runs/runs/survival/rsf__survival__N200__A2.2_b1__fs_cv__20260517T022355Z
rsf,survival,fs_a_only,300,5,auc_at_N,0.6835257092082168,0.0721469705260183,0.8518182523670539,0.052586082766366754,0.7767890255639703,0.03207066909766599,runs/runs/survival/rsf__survival__N300__A2.2_b1__fs_a_only__20260517T012246Z
rsf,survival,fs_a_only,300,5,f1_at_N,0.6835257092082168,0.0721469705260183,0.8467270186857568,0.0541432841661151,0.7733586137549425,0.03309590431883107,runs/runs/survival/rsf__survival__N300__A2.2_b1__fs_a_only__20260517T012646Z
rsf,survival,fs_cv,300,5,auc_at_N,0.7094301092683296,0.05135144397404226,0.874313531421597,0.05213184477156031,0.7966402580113064,0.02147250849285998,runs/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260517T024827Z
rsf,survival,fs_cv,300,5,f1_at_N,0.7005412203794408,0.04479980590494065,0.8731050377111682,0.04634141734718358,0.7986960584630712,0.022018463674978662,runs/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260517T025202Z
rsf,survival,fs_a_only,400,5,auc_at_N,0.7255032669194159,0.10655444155807244,0.8215482682839662,0.06876888392061524,0.7690765628610443,0.04342576481306877,runs/runs/survival/rsf__survival__N400__A2.2_b1__fs_a_only__20260517T014412Z
rsf,survival,fs_a_only,400,5,f1_at_N,0.7827574413164475,0.0556767609240801,0.8351848889097173,0.04042132646489542,0.7800467943371213,0.028059604006969923,runs/runs/survival/rsf__survival__N400__A2.2_b1__fs_a_only__20260517T014801Z
rsf,survival,fs_cv,400,5,auc_at_N,0.7643436315237557,0.04031481212486657,0.8577178608957785,0.04335963198564923,0.790635119134943,0.02085573853318736,runs/runs/survival/rsf__survival__N400__A2.2_b1__fs_cv__20260517T031350Z
rsf,survival,fs_cv,400,5,f1_at_N,0.7571080100024199,0.027893927759877847,0.8597263331634041,0.04227927413732993,0.7964989218923972,0.01338326678510343,runs/runs/survival/rsf__survival__N400__A2.2_b1__fs_cv__20260517T031709Z
xgb_aft,survival,fs_a_only,200,5,auc_at_N,0.5380714838869137,0.10567842169356076,0.9153915705506614,0.027689023343443628,0.7572253290965819,0.03578697138950539,runs/runs/survival/xgb_aft__survival__N200__A2.2_b1__fs_a_only__20260517T010945Z
xgb_aft,survival,fs_a_only,200,5,f1_at_N,0.5791080728687081,0.06441142068723403,0.9237804064622248,0.02483402151640485,0.7622191792897672,0.031450985291677565,runs/runs/survival/xgb_aft__survival__N200__A2.2_b1__fs_a_only__20260517T011040Z
xgb_aft,survival,fs_cv,200,5,auc_at_N,0.5607148381964037,0.04250117824324879,0.9191977466977466,0.04809002513502508,0.776983414575167,0.01389100380836283,runs/runs/survival/xgb_aft__survival__N200__A2.2_b1__fs_cv__20260517T022705Z
xgb_aft,survival,fs_cv,200,5,f1_at_N,0.550958740635428,0.053579670266225864,0.8925816758998577,0.0251692816461663,0.7653767220454805,0.03212892482858784,runs/runs/survival/xgb_aft__survival__N200__A2.2_b1__fs_cv__20260517T022814Z
xgb_aft,survival,fs_a_only,300,5,auc_at_N,0.6529395062863212,0.06746982104249093,0.8312154106511958,0.07838474521805418,0.7752405175999775,0.04912220788390638,runs/runs/survival/xgb_aft__survival__N300__A2.2_b1__fs_a_only__20260517T013038Z
xgb_aft,survival,fs_a_only,300,5,f1_at_N,0.6467197761232139,0.05354652414813369,0.8218618068326485,0.07768737653168246,0.7538625839358556,0.05379252860845983,runs/runs/survival/xgb_aft__survival__N300__A2.2_b1__fs_a_only__20260517T013140Z
xgb_aft,survival,fs_cv,300,5,auc_at_N,0.6733864427898805,0.06920704836818362,0.8301012918593255,0.06438218777967632,0.767890831899788,0.0426842947640201,runs/runs/survival/xgb_aft__survival__N300__A2.2_b1__fs_cv__20260517T025512Z
xgb_aft,survival,fs_cv,300,5,f1_at_N,0.6822841151658139,0.04677338703154246,0.8375389969683766,0.04071877189346836,0.7646845957030746,0.028909180794665507,runs/runs/survival/xgb_aft__survival__N300__A2.2_b1__fs_cv__20260517T025624Z
xgb_aft,survival,fs_a_only,400,5,auc_at_N,0.7257352585302896,0.11092717859973422,0.8141570881445024,0.0916959333955472,0.7680504705671666,0.04929485082293386,runs/runs/survival/xgb_aft__survival__N400__A2.2_b1__fs_a_only__20260517T015147Z
xgb_aft,survival,fs_a_only,400,5,f1_at_N,0.7075534403484715,0.06601177501701941,0.802485625930134,0.06860724951905185,0.7646953183484154,0.03732225727257289,runs/runs/survival/xgb_aft__survival__N400__A2.2_b1__fs_a_only__20260517T015248Z
xgb_aft,survival,fs_cv,400,5,auc_at_N,0.7318799709607162,0.06170510288592138,0.8322883971482369,0.06656487211929359,0.7840157328870245,0.015190584658569137,runs/runs/survival/xgb_aft__survival__N400__A2.2_b1__fs_cv__20260517T032033Z
xgb_aft,survival,fs_cv,400,5,f1_at_N,0.7467890618698072,0.04514463023189606,0.8330674640957823,0.013597229534952123,0.7875116256728971,0.00905522905320767,runs/runs/survival/xgb_aft__survival__N400__A2.2_b1__fs_cv__20260517T032149Z
