seed,model,metric,value
0,rsf,mae,149.68421052631578
0,rsf,rmse,184.51158856773597
0,rsf,r2,0.20115193327624326
0,rsf,medae,126.5
0,rsf,mape,2.1844699951704953
0,rsf,runtime_s,35.67828345298767
0,rsf,mae_q1,218.1
0,rsf,mae_q2,153.22222222222223
0,rsf,mae_q3,139.44444444444446
0,rsf,mae_q4,87.3
0,xgb_regressor,mae,106.37018250828332
0,xgb_regressor,rmse,131.3268655469392
0,xgb_regressor,r2,0.595308530260352
0,xgb_regressor,medae,92.19304163789457
0,xgb_regressor,mape,1.2646355426324838
0,xgb_regressor,runtime_s,29.73842191696167
0,xgb_regressor,mae_q1,104.70441731452222
0,xgb_regressor,mae_q2,60.5397183220647
0,xgb_regressor,mae_q3,79.24710458269763
0,xgb_regressor,mae_q4,173.6941356026683
0,ebm_regressor,mae,106.88823932637324
0,ebm_regressor,rmse,136.3668129193768
0,ebm_regressor,r2,0.5636507099557218
0,ebm_regressor,medae,73.52999620824767
0,ebm_regressor,mape,1.0800608105882497
0,ebm_regressor,runtime_s,317.95419096946716
0,ebm_regressor,mae_q1,95.93146496632463
0,ebm_regressor,mae_q2,58.169404006095874
0,ebm_regressor,mae_q3,76.13711638916523
0,ebm_regressor,mae_q4,189.3679761181587
1,rsf,mae,154.81578947368422
1,rsf,rmse,189.67028177728236
1,rsf,r2,0.28496842258845656
1,rsf,medae,126.0
1,rsf,mape,1.2722916968842537
1,rsf,runtime_s,33.575334310531616
1,rsf,mae_q1,137.3
1,rsf,mae_q2,232.0
1,rsf,mae_q3,144.55555555555554
1,rsf,mae_q4,112.1
1,xgb_regressor,mae,119.37759844546869
1,xgb_regressor,rmse,180.16598876826222
1,xgb_regressor,r2,0.35483282692559903
1,xgb_regressor,medae,68.83954443541916
1,xgb_regressor,mape,1.0458140562536609
1,xgb_regressor,runtime_s,65.89505195617676
1,xgb_regressor,mae_q1,62.788290545460335
1,xgb_regressor,mae_q2,132.11242774226776
1,xgb_regressor,mae_q3,42.95103958231751
1,xgb_regressor,mae_q4,233.28946295519398
1,ebm_regressor,mae,137.95361728559774
1,ebm_regressor,rmse,187.3873785696835
1,ebm_regressor,r2,0.3020773155627261
1,ebm_regressor,medae,91.54361566536826
1,ebm_regressor,mape,1.2367216787349522
1,ebm_regressor,runtime_s,352.44372391700745
1,ebm_regressor,mae_q1,110.00190798619253
1,ebm_regressor,mae_q2,155.23957915592842
1,ebm_regressor,mae_q3,56.04155048525911
1,ebm_regressor,mae_q4,224.0688210220103
2,rsf,mae,141.18421052631578
2,rsf,rmse,178.51411561466003
2,rsf,r2,0.3743387208809311
2,rsf,medae,130.5
2,rsf,mape,1.1580363790625388
2,rsf,runtime_s,40.998295545578
2,rsf,mae_q1,151.8
2,rsf,mae_q2,186.55555555555554
2,rsf,mae_q3,77.33333333333333
2,rsf,mae_q4,147.2
2,xgb_regressor,mae,139.89629620697096
2,xgb_regressor,rmse,185.38741615388332
2,xgb_regressor,r2,0.32523172459109173
2,xgb_regressor,medae,81.49710242145375
2,xgb_regressor,mape,0.789721027866081
2,xgb_regressor,runtime_s,25.29048991203308
2,xgb_regressor,mae_q1,86.30473660899486
2,xgb_regressor,mae_q2,136.3251706258153
2,xgb_regressor,mae_q3,53.18655586177182
2,xgb_regressor,mae_q4,274.7406351386664
2,ebm_regressor,mae,144.8954165567991
2,ebm_regressor,rmse,186.756556491138
2,ebm_regressor,r2,0.31522819852827366
2,ebm_regressor,medae,89.61061509945309
2,ebm_regressor,mape,0.7948151720789499
2,ebm_regressor,runtime_s,524.3862476348877
2,ebm_regressor,mae_q1,92.20120551717112
2,ebm_regressor,mae_q2,163.46257439225548
2,ebm_regressor,mae_q3,62.21712325274908
2,ebm_regressor,mae_q4,255.2896495181614
3,rsf,mae,138.3684210526316
3,rsf,rmse,187.71717247525666
3,rsf,r2,0.3854428165691095
3,rsf,medae,109.5
3,rsf,mape,1.1551003431643472
3,rsf,runtime_s,45.12954902648926
3,rsf,mae_q1,119.5
3,rsf,mae_q2,73.55555555555556
3,rsf,mae_q3,166.55555555555554
3,rsf,mae_q4,190.2
3,xgb_regressor,mae,138.94270630085606
3,xgb_regressor,rmse,196.48839067435858
3,xgb_regressor,r2,0.32666981709277454
3,xgb_regressor,medae,97.95864201557242
3,xgb_regressor,mape,1.486764049223027
3,xgb_regressor,runtime_s,38.487433195114136
3,xgb_regressor,mae_q1,112.92626024134051
3,xgb_regressor,mae_q2,65.97917275005449
3,xgb_regressor,mae_q3,80.09881851017134
3,xgb_regressor,mae_q4,283.5858315677093
3,ebm_regressor,mae,148.34516616981944
3,ebm_regressor,rmse,196.37613100426395
3,ebm_regressor,r2,0.32743898448379327
3,ebm_regressor,medae,104.11396002477196
3,ebm_regressor,mape,1.373562339314678
3,ebm_regressor,runtime_s,328.09705805778503
3,ebm_regressor,mae_q1,117.46404859627141
3,ebm_regressor,mae_q2,86.36568679511382
3,ebm_regressor,mae_q3,103.46668197343506
3,ebm_regressor,mae_q4,275.3984509573485
4,rsf,mae,132.5
4,rsf,rmse,173.59731079653704
4,rsf,r2,0.276466843420354
4,rsf,medae,110.0
4,rsf,mape,1.7821949131972652
4,rsf,runtime_s,43.38114905357361
4,rsf,mae_q1,103.6
4,rsf,mae_q2,153.0
4,rsf,mae_q3,113.55555555555556
4,rsf,mae_q4,160.0
4,xgb_regressor,mae,112.59823673822645
4,xgb_regressor,rmse,163.06547763101003
4,xgb_regressor,r2,0.36159466862487
4,xgb_regressor,medae,81.11515565625496
4,xgb_regressor,mape,1.8141680919970036
4,xgb_regressor,runtime_s,61.61883187294006
4,xgb_regressor,mae_q1,105.09184588191752
4,xgb_regressor,mae_q2,74.28976768855733
4,xgb_regressor,mae_q3,68.89692745334297
4,xgb_regressor,mae_q4,193.91342809563275
4,ebm_regressor,mae,120.53980209202878
4,ebm_regressor,rmse,164.08628077898533
4,ebm_regressor,r2,0.35357671184260064
4,ebm_regressor,medae,84.27085330862869
4,ebm_regressor,mape,1.9525944122431698
4,ebm_regressor,runtime_s,386.6795241832733
4,ebm_regressor,mae_q1,112.13682084621423
4,ebm_regressor,mae_q2,96.52747078824639
4,ebm_regressor,mae_q3,68.38173644864884
4,ebm_regressor,mae_q4,197.49614059028934
